pathway	n_activated	n_suppressed	pct_patients	mean_nes	luad_relevant
Human cytomegalovirus infection	1	0	0.2	2.632	False
Nicotine addiction	1	387	0.2	-1.4	False
NOD-like receptor signaling pathway	1	0	0.2	2.685	False
E2F Targets	1	0	0.2	3.473	False
Estrogen Response Early	1	0	0.2	4.502	False
Oxidative Phosphorylation	1	0	0.2	5.434	False
Estrogen Response Late	1	0	0.2	4.385	False
Human immunodeficiency virus 1 infection	1	0	0.2	3.529	False
Coronavirus disease	1	0	0.2	3.909	False
heme Metabolism	1	0	0.2	3.932	False
Steroid hormone biosynthesis	0	1	0.0	-1.367	False
Taste transduction	0	3	0.0	-1.264	False
Neuroactive ligand-receptor interaction	0	3	0.0	-1.374	False
MicroRNAs in cancer	0	62	0.0	-1.42	False
Olfactory transduction	0	517	0.0	-1.918	False
